conv_id,context,prompt,speaker_utterance,listener_utterance,exchange_number,s_negative,s_neutral,s_positive,l_negative,l_neutral,l_positive,predictions_ER,predictions_IP,predictions_EX,valence_speaker,arousal_speaker,dominance_speaker,valence_listener,arousal_listener,dominance_listener,s_word_len,l_word_len,agreeing,acknowledging,encouraging,consoling,sympathizing,suggesting,questioning,wishing,neutral,speaker_emotion,listener_emotion,mimicry,empathy
hit:12258_conv:24516,lonely,Sometimes I feel like I'm alone for no reason,I have been processing what being lonely feels like_comma_ because I want to be able to have fun by myself sometimes,I think that is a good idea so you are not always dependent on others to have fun and just enjoy time to yourself.,1,0.100616395,0.4994583,0.3999253,0.0046026916,0.07083738,0.92455995,0,0,0,0.4112,-0.0084,0.1612,0.5165,0.0035,0.21975,21,24,0.0010232533095404,0.0071786721237003,6.12792864558287e-05,1.34570509544574e-05,5.79559673496988e-05,0.0007320590084418,0.0004481489595491,0.0007717085536569,0.989713430404663,lonely,hopeful,1,3
hit:12258_conv:24516,lonely,Sometimes I feel like I'm alone for no reason,True_comma_ and I have felt that way before_comma_ but sometimes like a wave of those kinds of feelings hits like I am not worthy enough and stuff like that_comma_ but it is all good,Meditation on goals and positive ideas during some of that alone time can be so uplifting and refocuses you.,2,0.18947163,0.49411243,0.31641588,0.0016266775,0.053320404,0.9450529,0,0,0,0.404461538461539,-0.191846153846154,0.0787692307692308,0.42575,-0.30825,0.1725,34,19,0.0009496003622189,0.864997565746307,0.0005522561259567,0.127451479434967,0.0004154047346673,0.0004660729609895,0.0027292903978377,0.0006730307941325,0.0017653143731877,excited,disappointed,1,3
hit:2788_conv:5576,guilty,Sometimes I'll forget to feed my dog. I can't help but feel bad about it...,Sometimes I will forget to feed my dog. I cannot help but feel bad about it...,That is not good at all,1,0.840945,0.13951504,0.019539952,0.9737076,0.023077056,0.0032152825,0,0,0,0.178857142857143,-0.0237142857142857,0.0054285714285714,0.876,-0.264,0.068,16,6,0.0021909028291702,0.743451774120331,0.0018722664099186,0.0044673662632703,0.0003532756236381,7.18883384251967e-05,0.0002014841738855,0.246295213699341,0.0010958161437884,guilty,sad,1,2
hit:2788_conv:5576,guilty,Sometimes I'll forget to feed my dog. I can't help but feel bad about it...,Yeah I feel super guilty,Cannot you just leave food out? Or set an alarm on your phone?,2,0.8952786,0.09476936,0.009952041,0.39587128,0.5749654,0.029163292,0,0,2,0.187333333333333,0.356666666666667,0.152,0.1016,-0.0612,0.0272,5,13,5.64151559956372e-05,4.39405266661197e-05,4.26419355790131e-05,1.90085738722701e-05,0.0001798270823201,0.0008191789966076,0.998441278934479,0.0001575148635311,0.0002402027748757,guilty,annoyed,0,2
hit:11354_conv:22708,faithful,my friend told me a secret,my friend told me a secret,Was it a good one? Did you keep it?,1,0.078413695,0.8536459,0.06794033,0.02315611,0.78512454,0.19171932,0,0,2,0.385,-0.0069999999999999,0.082,0.462666666666667,-0.362666666666667,-0.0326666666666667,6,9,7.2519680543337e-05,4.73099498776719e-05,4.27351042162627e-05,2.04300449695438e-05,0.000588548311498,0.0003856795374304,0.997877359390259,0.0002417320356471,0.0007237218087539,trusting,impressed,1,3
hit:11354_conv:22708,faithful,my friend told me a secret,yes_comma_ i did keep it. im holding it for a couple more days.,Is someone getting married_comma_ or a baby?,2,0.007092447,0.34898245,0.6439251,0.0827579,0.8863676,0.03087446,0,0,2,0.4195,-0.2225,0.1065,0.511,-0.065,0.057,13,7,0.0001166820802609,6.13740121480078e-05,4.32256420026533e-05,9.300941019319e-05,0.0002398816432105,0.0225618369877338,0.976474940776825,0.0001866520760813,0.0002224203053629,prepared,excited,1,3
hit:11354_conv:22708,faithful,my friend told me a secret,lol_comma_ its one of the them,Well tell them I said Congrats on whatever it is. As long as it is not a baby marriage.,3,0.068977654,0.7571528,0.17386952,0.032231275,0.4403693,0.5273995,1,0,0,0.084,-0.416,-0.26,0.4812,-0.0088,0.192,6,19,0.0096095791086554,0.988663971424103,0.0002714427828323,0.0004535585467237,6.8582347012125e-05,0.0001595667417859,0.0001537948992336,0.0005248260567896,9.4706927484367e-05,nostalgic,caring,0,3
hit:11354_conv:22708,faithful,my friend told me a secret,lol.. i will this weekend. i never hold secrets. im doing a great job,Keep it secret_comma_ Keep it safe....,4,0.003879685,0.044620566,0.9514997,0.053363636,0.7854767,0.16115971,0,0,0,0.373666666666667,0.0363333333333333,0.218,0.4025,-0.261,0.181,14,6,0.0383271984755993,0.177023679018021,0.0009583897772245,0.120380073785782,0.0003131398698315,0.497559785842896,0.0412558391690254,0.0006489315419457,0.123533003032207,confident,anxious,1,3
hit:12330_conv:24661,lonely,My friends went on vacation without me.,My friends went on vacation without me_comma_ and now I have no one to hang out with for 3 weeks.,That sucks_comma_ I am sorry to hear it. Did they at least ask you first?,1,0.7986765,0.1848801,0.016443392,0.8953013,0.09523291,0.00946578,2,0,2,0.2484,-0.218,-0.0648,0.0664,-0.0252,-0.088,20,15,0.0003555225266609,0.0001344861520919,7.27644292055629e-05,0.0004481413634493,0.904305458068848,0.0051326309330761,0.0885693207383156,0.0005757653270848,0.000405972416047,joyful,devastated,1,3
hit:12330_conv:24661,lonely,My friends went on vacation without me.,Yes but I could not go because of work. Guess I will have to suck it up and be lonely for a while.,At least they asked you_comma_ that is good. It will pass in no time and you will be hanging soon I am sure_comma_,2,0.8697605,0.11930197,0.010937503,0.030230094,0.21334296,0.756427,1,0,0,0.0945714285714286,-0.12,0.0114285714285714,0.286285714285714,-0.317428571428571,0.107428571428571,23,23,0.0025609827134758,0.0001864547957666,0.0009162156493403,0.99113655090332,0.0001122880858019,0.0011974894441664,0.0004761891905218,7.76443557697348e-05,0.0033362684771418,lonely,confident,1,3
hit:1728_conv:3457,trusting,I let my dad borrow 10 dollars.,I let my dad borrow 10 dollars!,Is there any emergency need for money?,1,0.017003218,0.4910378,0.49195892,0.16710927,0.8055203,0.027370417,0,0,2,0.2185,-0.005,0.0345,0.036,0.388,0.0653333333333334,7,7,6.4395644585602e-05,0.0001919532951433,5.6504548410885e-05,1.32112581923138e-05,6.4651329012122e-05,0.0001129325537476,0.999252140522003,0.0001225406158482,0.0001217149547301,trusting,annoyed,0,2
hit:1728_conv:3457,trusting,I let my dad borrow 10 dollars.,Not for me_comma_ but dad always need money and I give to him.,It is our responsibility to take care of our parents.,2,0.33562517,0.60415953,0.06021523,0.14069103,0.74982566,0.10948333,0,0,0,0.4805,-0.03,0.1565,0.5645,-0.118,0.28,13,10,0.748811721801758,0.175017490983009,0.0541168488562107,0.0024444672744721,6.36008917354047e-05,0.0002214634878328,0.0006324534188024,0.0065034311264753,0.0121886786073446,afraid,caring,1,2
hit:7368_conv:14737,lonely,I broke up with my girlfriend this same time last year.,I broke up with my girlfriend this same time last year,That is unfortunate_comma_ made a new one since?,1,0.5328977,0.4522147,0.014887623,0.7250962,0.2547772,0.02012657,0,0,2,0.0515,-0.0375,-0.001,0.0213333333333333,-0.154,-0.235333333333333,11,8,9.48336382862181e-05,6.18757840129547e-05,2.64028276433237e-05,4.80805319966748e-05,0.0007089301943778,0.00491504650563,0.993773281574249,0.0001274926617043,0.000244028517045,lonely,sad,0,2
hit:7368_conv:14737,lonely,I broke up with my girlfriend this same time last year.,Nope. I have not felt anything for anyone since.,That is terrible_comma_ I hope you find someone soon.,2,0.9095292,0.08426993,0.006200918,0.8870025,0.09962915,0.0133683765,1,0,0,0.4,-0.194,0.159,0.174666666666667,0.147333333333333,0.282,9,9,0.0001612451160326,0.0003216601617168,0.0030675616580992,0.994409143924713,0.0004265584284439,0.0013508674455806,0.0001482009975006,5.16225845785812e-05,6.32056544418447e-05,lonely,terrified,0,2
hit:3362_conv:6725,angry,My boyfriend and I broke up and he moved out. Before he left_comma_ he damaged a lot of my stuff.,My boyfriend and I broke up and he moved out.,That is really tough. But one closed door leads to the next great opportunity.,1,0.6387247,0.3412008,0.02007454,0.102711596,0.36085752,0.5364309,1,0,0,0.026,0.194,-0.083,0.112571428571429,-0.0571428571428571,0.128285714285714,10,14,7.6882126450073e-05,8.72349264682271e-05,1.27649364003446e-05,4.10849024774507e-05,0.000161654636031,0.0004122963873669,0.0002754996239673,2.49258609983372e-05,0.998907566070557,lonely,anticipating,0,3
hit:3362_conv:6725,angry,My boyfriend and I broke up and he moved out. Before he left_comma_ he damaged a lot of my stuff.,Before he left_comma_ he damaged a lot of my stuff and property.,That is horrible! If you do not have insurance there are a lot of pro bono lawyers that will take your case. Report it to the police so it is documented and justice will prevail. You do not deserve or need to put up with that.,2,0.9167564,0.07946756,0.0037760055,0.9082157,0.084033795,0.0077505903,1,0,0,-0.0596,-0.2768,-0.2076,0.1855,-0.011875,0.17425,12,46,0.0337618105113506,0.0153420967981219,0.0012253987370058,0.0865572690963745,7.62269773986191e-05,0.0007373063708655,0.0020096420776099,0.0004301429144106,0.859860122203827,annoyed,afraid,0,3
hit:1762_conv:3525,jealous,I feel jealous when I see what some people earn. I can't understand how some people can get so much more than me when their talents don't seem to reflect the difference.,I cannot understand why some people earn so much money.,I know right,1,0.95950407,0.037331726,0.0031642816,0.3131211,0.49466538,0.19221349,1,0,0,0.5365,0.0755,0.3935,0.505,-0.287,0.414,10,3,0.998097956180573,0.0003125095681753,0.0007801768369972,0.0002185464691137,2.40212848439114e-05,0.0001202277853735,0.0001051327926688,0.0001094552790164,0.0002318633924005,annoyed,confident,1,3
hit:1762_conv:3525,jealous,I feel jealous when I see what some people earn. I can't understand how some people can get so much more than me when their talents don't seem to reflect the difference.,Yeah - my old boss used to get more than double my wage_comma_ yet I could not see what he brought to the role to deserve that.,I know exactly what you mean.,2,0.60453224,0.34288073,0.052587066,0.38192505,0.55414355,0.063931406,1,0,0,0.255714285714286,-0.222,-0.0065714285714285,0.205,-0.172,0.324,27,6,0.997701108455658,0.0005257066222839,0.0010630920296534,0.0001324458135059,2.86751783278305e-05,0.0001656670647207,7.6637021265924e-05,0.0001120964661822,0.0001945452240761,joyful,trusting,1,3
hit:2167_conv:4334,disgusted,So I saw a guy at the gas station yesterday and he was over 40..listening to nasty rap and of course he got out to use the free air pump then just THREW it on the ground.,So I saw a guy at the gas station yesterday and he was over 40..listening to nasty rap and of course he got out to use the free air pump then just THREW it on the ground. They constantly have to replace it and it is the only free one in the area.,Oh_comma_ that sound alful! Some people have zero respect for others belonging and even less for things we all need to share.,1,0.50533944,0.41917536,0.07548525,0.91373885,0.07886963,0.007391543,0,0,0,0.0667058823529412,-0.107176470588235,-0.0207058823529412,0.338,-0.0963333333333333,-0.113,53,22,0.000588517228607,0.992869675159454,2.74336634902284e-05,0.0002513482759241,0.0002743676013778,0.0018436664249748,0.0025308553595095,0.00016695841623,0.0014472000766545,disgusted,joyful,1,3
hit:2167_conv:4334,disgusted,So I saw a guy at the gas station yesterday and he was over 40..listening to nasty rap and of course he got out to use the free air pump then just THREW it on the ground.,I know right? It is so ghetto in my neighborhood but I just cannot stand people who behave that way. Yes zero respect and zero care for even their own things_comma_ let alone others. Its sad.,It is sad. Espically since if the same people acted like they cared and wanted to they could help make the enviroment better for everyone.,2,0.97685516,0.02005455,0.0030902296,0.48222324,0.385746,0.13203074,0,2,0,0.0918571428571429,-0.288142857142857,-0.0521428571428572,0.162,-0.2092,-0.186,36,25,0.0025192035827785,0.0754106491804123,0.0060154483653605,0.0039781569503247,0.0001281671138713,0.0001049300772137,8.54318786878139e-05,0.0007805483182892,0.91097754240036,apprehensive,hopeful,1,3
hit:11968_conv:23937,excited,I am very happy that my popsicle business is finally thriving! I have worked so hard on it for many years.,I am very happy that my popsicle business is finally thriving! I have worked so hard on it for many years.,That is great. Where are you selling your popsicle?,1,0.0014267138,0.0065616095,0.9920116,0.0021276677,0.02629288,0.97157943,1,0,2,0.351,-0.01525,0.18975,0.625,-0.035,0.174,21,9,5.77857499592938e-05,0.0021454221569001,3.34313917846885e-05,3.96163413824979e-05,9.3759226729162e-05,0.0002637220022734,0.997192323207855,0.0001207702007377,5.32528611074667e-05,joyful,impressed,1,2
hit:11968_conv:23937,excited,I am very happy that my popsicle business is finally thriving! I have worked so hard on it for many years.,From my house and from a few local stores. I am not ready to make it any bigger than that.,I understand. Good luck.,2,0.37990367,0.4513538,0.16874255,0.010492502,0.19790116,0.7916063,1,1,0,0.3372,-0.3,0.008,0.701333333333333,-0.178666666666667,0.262666666666667,20,4,0.0093870991840958,0.0034201412927359,0.0003281102108303,0.0001248675544047,0.0002365677064517,5.82648426643573e-05,0.0001444305235054,0.986032247543335,0.0002683174971025,prepared,trusting,1,2
hit:7503_conv:15007,jealous,My neighbor just got a new pool installed. I wanted to get one but I couldn't afford it.,My neighbor just got a pool installed. It has a slide and everything.,That sounds so fun! I would love to have a pool in my yard.,1,0.0150621915,0.5942788,0.39065903,0.0015303222,0.010416444,0.98805326,0,2,0,0.264666666666667,-0.174,-0.024,0.436,-0.052,0.0585714285714286,13,14,0.0003173742734361,0.998391091823578,0.0001943534734891,0.0001358892041025,6.4190557168331e-05,4.06901272071991e-05,6.18512494838797e-05,0.000694767688401,9.97572496999055e-05,jealous,joyful,1,3
hit:7503_conv:15007,jealous,My neighbor just got a new pool installed. I wanted to get one but I couldn't afford it.,Oh me too_comma_ I wanted to get a pool and even described what I wanted to her and then she goes and gets one before me!,Wow! That is kind of messed up!,2,0.063867815,0.59484875,0.34128347,0.9638879,0.030869268,0.0052428916,0,0,0,0.2628,-0.0892,0.0984,0.836,-0.52,0.236,26,7,0.0014266243670135,0.956748247146606,0.0003784979635383,0.0390209034085274,0.0009736177162267,0.0001959266955964,0.0005362136289477,0.000377813266823,0.0003421348810661,excited,joyful,1,3
hit:1059_conv:2119,disappointed,My family has fallen on hard times. We got to the point that we couldn't catch up on our car note. One day the tow company came and hauled it away. I felt really let down and didn't know what I should do.,When we lost our car I felt lost. How do you put your life back together without transportation.,oh how sad_comma_ how did you lose your car?. Public transportation is not every one's cup of tea..,1,0.76763767,0.2081741,0.024188124,0.86230206,0.1230274,0.0146704605,2,0,2,0.1808,0.0298,-0.0604,0.0537142857142857,-0.196857142857143,-0.268,18,18,8.26381365186535e-05,0.0001407105010002,1.70519942912506e-05,2.26165630010655e-05,0.000518835557159,0.0013880444457754,0.99705445766449,0.0001062444498529,0.0006694560870528,sad,sad,0,3
hit:1059_conv:2119,disappointed,My family has fallen on hard times. We got to the point that we couldn't catch up on our car note. One day the tow company came and hauled it away. I felt really let down and didn't know what I should do.,My husband lost his job and we got behind. We also live in a rural area about 15 minutes from town and an hour to the closest big city.,you guy's will get back everything you have lost. It is difficult for travel as you said,2,0.58711505,0.36271128,0.050173663,0.5248426,0.41449022,0.060667105,1,0,0,0.26,-0.110909090909091,0.0376363636363636,0.1,0.129333333333333,-0.071,29,17,0.0033750699367374,0.314645200967789,0.0010243385331705,0.588694214820862,0.0012966559734195,0.0011173891834914,0.0032110454048961,0.0004721958830486,0.0861637964844704,annoyed,sad,0,3
hit:6171_conv:12343,sentimental,I miss being a kid. I saw a show on tv that reminded me of that,I miss being a kid. I saw a tv show today that made me think about that,Yes_comma_ I understand! Life is easier as a kid.,1,0.4511746,0.41977727,0.12904812,0.0098094875,0.08671062,0.90347993,1,2,0,0.296,-0.0431428571428571,-0.0525714285714286,0.625333333333333,-0.0386666666666667,0.176666666666667,17,9,0.993263185024262,0.0046495711430907,0.0002426638384349,0.0006958880112506,2.99362909572665e-05,0.0003776118392124,0.0001427363749826,0.0001272199588129,0.0004710955836344,sentimental,joyful,1,3
hit:6171_conv:12343,sentimental,I miss being a kid. I saw a show on tv that reminded me of that,It really was_comma_ I miss it,Same sometimes_comma_ But I enjoy the freedom and indepence of being an adult.,2,0.2724866,0.4835791,0.24393435,0.021576326,0.20018756,0.77823615,0,2,0,0.146,-0.02,-0.184,0.828666666666667,0.173333333333333,0.628,6,13,8.09188568382524e-05,2.57981646427652e-05,1.57289450726239e-05,7.86476593930274e-05,0.0001842309720814,0.0005170716322027,0.0004628442402463,4.40446528955363e-05,0.998590648174286,sentimental,disgusted,1,3
hit:4726_conv:9452,apprehensive,I got asked to go on a cruise but_comma_ I'm not sure if I should.,I got asked to go on a cruise but_comma_ I am not sure if I should.,Cruises are fun. What is the problem?,1,0.5040615,0.44568273,0.05025573,0.22334282,0.44171235,0.33494478,0,0,1,0.316,-0.231333333333333,0.28,0.146666666666667,0.286,0.176666666666667,16,7,9.75220318650827e-05,8.41411892906763e-05,2.79851974482881e-05,1.60634826897876e-05,0.000325900997268,0.0006515089189633,0.998111963272095,0.0005268897511996,0.0001580599200678,anxious,anticipating,0,2
hit:4726_conv:9452,apprehensive,I got asked to go on a cruise but_comma_ I'm not sure if I should.,Do I really want to spend two weeks in a room with someone I do not know really really well?,Two weeks is a long time.,2,0.89615035,0.09823024,0.005619433,0.3981547,0.5426806,0.059164744,0,1,0,0.296285714285714,-0.14,-0.0094285714285714,0.0875,-0.464,-0.0465,20,6,0.0005494560464285,0.989354491233826,0.0001302922319155,5.90124072914477e-05,8.27280018711463e-05,0.0001207325185532,0.0018631509738043,0.0055908388458192,0.0022493135184049,apprehensive,excited,0,2
hit:4726_conv:9452,apprehensive,I got asked to go on a cruise but_comma_ I'm not sure if I should.,Indeed it is,I wouldnt risk it,3,0.13897473,0.6731599,0.18786536,0.42167702,0.52408195,0.054241028,0,0,0,0.0,0.0,0.0,-0.52,0.632,-0.124,3,4,0.0002284672227688,0.001707861199975,2.65947328443872e-05,1.44866189657478e-05,0.0001744823093758,0.0010180379031226,0.000113929141662,0.0002306769310962,0.996485471725464,surprised,ashamed,0,2
hit:5782_conv:11565,ashamed,cheating on my wife,i i feel lower than dirt after betraying my wifes trust,how did that happen,1,0.9625687,0.035341024,0.0020903305,0.31878284,0.6290159,0.052201264,0,0,1,0.206,0.03,-0.0344,0.354,0.34,0.102,11,4,0.0002367148263147,0.0001088107019313,4.33335371781141e-05,5.7332592405146e-05,0.0001629777689231,0.0001957996864803,0.987058579921722,0.0001740661537041,0.0119624231010675,embarrassed,impressed,1,1
hit:5782_conv:11565,ashamed,cheating on my wife,i was being unfaithful,ah well that would be a good reason then,2,0.8975909,0.09727118,0.005138004,0.008979551,0.16336603,0.8276544,0,0,0,-0.938,0.612,-0.404,0.474666666666667,-0.176666666666667,0.115333333333333,4,9,0.0003530315880198,0.971270382404327,0.0007664451259188,0.0001745006738929,0.0001846898376243,0.000100153418316,0.000102533478639,0.0268842838704586,0.0001638933608774,confident,hopeful,0,1
hit:9990_conv:19980,excited,I can't even fall asleep waiting to go on our vacation.,I doubt I will get any sleep waiting for tomorrow.,I am sorry to hear. Why is that?,1,0.8532067,0.1336515,0.013141812,0.86055344,0.1263482,0.013098405,2,0,1,0.194333333333333,-0.280333333333333,-0.096,0.166,-0.209,-0.344,10,8,0.0002996944822371,0.0006602053181268,6.74495604471304e-05,0.0001655467931414,0.973777949810028,0.0001979169464902,0.0241378098726273,0.0006270425510592,6.63994142087176e-05,anxious,sad,1,3
hit:9990_conv:19980,excited,I can't even fall asleep waiting to go on our vacation.,I am finally getting to take the kids to Disneyland!,Oh_comma_ well that is a fine thing indeed! I would be jumping up and down!,2,0.0009380852,0.020570766,0.9784912,0.0028638872,0.02375375,0.97338235,0,0,0,0.447333333333333,-0.0513333333333333,-0.259333333333333,0.176666666666667,-0.417333333333333,-0.110666666666667,10,15,0.000679453543853,0.979903936386108,9.67783198575489e-05,0.0022907787933945,0.0001168136659543,0.0018051230581477,0.0012168873799964,0.0001298850256716,0.0137603124603629,joyful,surprised,0,3
hit:7489_conv:14978,devastated,My daughter had the sweetest little hamster. One day she went to feed it and it had died_comma_ she was crushed.,My daughter had the sweetest little hamster.,Aww_comma_ I love hamsters! What kind of a hamster was it?,1,0.0020464405,0.014546741,0.98340684,0.0014610394,0.013610337,0.98492867,0,0,2,0.386,-0.2655,-0.3065,0.479,-0.2265,-0.0055,7,11,0.0004093188326805,0.0001021993011818,8.36068866192363e-05,0.0001937115448527,0.0102972593158484,0.0835563838481903,0.893528699874878,0.0005178409046493,0.0113110207021236,impressed,impressed,1,3
hit:7489_conv:14978,devastated,My daughter had the sweetest little hamster. One day she went to feed it and it had died_comma_ she was crushed.,It was a teddy bear hamster. One day she went to feed it and it had died_comma_ she was crushed.,That is horrible. Is she doing okay now?,2,0.6698045,0.30121455,0.028980998,0.84419405,0.14238045,0.013425451,1,0,2,-0.0774285714285714,-0.0711428571428571,-0.157428571428571,-0.858,0.714,-0.204,20,8,4.63242176920176e-05,6.81598248775117e-05,5.65267509955447e-05,2.60814904322615e-05,8.16192041384056e-05,0.0001241625432157,0.999262511730194,0.0002766416000667,5.78807666897774e-05,devastated,disgusted,0,3
hit:134_conv:269,angry,I felt very angry when a co-worker of mine pretended he was in a car accident to get out of working July 4th. I worked to midnight for him to only find out he was faking it. I was furious,I was very angry when a co worker lied about a car accident to get out of working July 4th. I covered his shift till midnight and he was lying about the accident,That is not very nice.,1,0.9602022,0.037055068,0.0027426502,0.9673465,0.02926468,0.0033887678,0,0,0,-0.0586666666666667,0.235666666666667,0.0031666666666666,0.86,-0.116,0.3,33,5,0.0004225346783641,0.997284173965454,0.0003606309765018,0.0004974550683982,0.0001024874072754,3.71390160580631e-05,6.25265165581368e-05,0.0011734907748177,5.96543432038743e-05,guilty,lonely,0,2
hit:134_conv:269,angry,I felt very angry when a co-worker of mine pretended he was in a car accident to get out of working July 4th. I worked to midnight for him to only find out he was faking it. I was furious,Yeah he got caught in someones pics on Facebook. Never lie and then go out with people who like to take pictures.,Yes. I do not have a Facebook.,2,0.43890524,0.5154961,0.045598716,0.23600322,0.6821857,0.08181105,0,0,0,0.168333333333333,-0.0786666666666667,-0.176,0.427,-0.063,0.129,22,7,0.970428049564362,0.0219428446143866,0.0004023086803499,0.0018457358237355,0.0002019494277192,0.0001508368441136,4.78984002256766e-05,0.0002477644593454,0.0047324663028121,disgusted,apprehensive,1,2
